ICE-2201,Programming with Java,3,2-2
ICE-2203,Data Communication,3,2-2
ICE-2205,Algorithm Design and Analysis,3,2-2
ICE-2207,Database Management Systems,3,2-2
ICE-2209,Electromagnetic Fields and Waves,3,2-2
MATH-2211,"Laplace, Fourier Series and Complex Variables",3,2-2
ICE-2202,Programming with Java Lab,1,2-2
ICE-2204,Data Communication Lab,1,2-2
ICE-2206,Algorithm Design and Analysis Lab,1,2-2
ICE-2208,Database Management Systems Lab,1,2-2
ICE-2200,Seminar/Viva-voce,1,2-2
